="",="[0.03,0.04]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="",="[0.04,0.04]",="[0.01,0.01]",="[-0.01,-0.01]",="[0.01,0.01]",="[-0.00,0.00]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.006)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.459)"
="mc_firstcare_firsttrim",="0.16***",="0.00",="-0.00*",="0.00",="0.01**",="-0.00",="-0.05***",="0.02***",="0.01*",="0.01***",="3.50***",="",="-0.01***",="0.03***",="-0.03***",="-0.01*"
="",="[0.09,0.23]",="[-0.00,0.01]",="[-0.01,-0.00]",="[-0.00,0.00]",="[0.00,0.01]",="[-0.00,0.00]",="[-0.05,-0.04]",="[0.02,0.03]",="[0.00,0.01]",="[0.01,0.02]",="[3.45,3.54]",="",="[-0.02,-0.01]",="[0.02,0.03]",="[-0.03,-0.02]",="[-0.01,-0.00]"
="",="(0.000)",="(0.611)",="(0.032)",="(0.054)",="(0.001)",="(0.352)",="(0.000)",="(0.000)",="(0.034)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.014)"
="mc_chronic",="1.07***",="-0.01***",="0.01***",="-0.01***",="0.08***",="-0.00***",="-0.09***",="-0.00",="-0.04***",="0.04***",="0.59***",="-0.01***",="",="0.00**",="0.08***",="0.09***"
="",="[1.00,1.13]",="[-0.01,-0.00]",="[0.01,0.01]",="[-0.02,-0.01]",="[0.07,0.08]",="[-0.00,-0.00]",="[-0.09,-0.08]",="[-0.01,0.00]",="[-0.04,-0.03]",="[0.03,0.04]",="[0.54,0.64]",="[-0.02,-0.01]",="",="[0.00,0.01]",="[0.07,0.08]",="[0.08,0.09]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.156)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.004)",="(0.000)",="(0.000)"
="mc_preterm",="0.56***",="0.00",="0.01**",="0.01**",="0.02***",="0.00***",="-0.04***",="-0.01**",="-0.02***",="-0.00",="-1.94***",="0.06***",="0.01**",="",="0.18***",="0.15***"
="",="[0.46,0.67]",="[-0.00,0.01]",="[0.00,0.01]",="[0.00,0.01]",="[0.01,0.02]",="[0.00,0.00]",="[-0.04,-0.03]",="[-0.02,-0.00]",="[-0.02,-0.01]",="[-0.01,0.00]",="[-2.02,-1.86]",="[0.05,0.06]",="[0.00,0.02]",="",="[0.17,0.18]",="[0.14,0.16]"
="",="(0.000)",="(0.201)",="(0.004)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.354)",="(0.000)",="(0.000)",="(0.004)",="",="(0.000)",="(0.000)"
="mc_complications",="0.98***",="-0.01***",="0.00",="0.01***",="0.01**",="0.00***",="0.02***",="0.00",="-0.00",="0.00",="1.11***",="-0.04***",="0.14***",="0.12***",="",="0.08***"
